Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page,Selector_Crop_Category
1,Bihar,Arwal,240,Rice,Kharif,15th June - 15th Aug,15th Oct. – 30th Nov,15,6,15,8,15,10,30,11,1,RICE
2,Bihar,Arwal,240,Wheat,Rabi,15th Nov – 15th Dec,15th Mar. – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
3,Bihar,Arwal,240,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15,10,30,11,15,3,15,4,1,BARLEY
4,Bihar,Arwal,240,Maize,Kharif,15th May – 15th June,1st -31st Sept,15,5,15,6,1,9,31,9,1,MAIZE
5,Bihar,Arwal,240,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,1,MAIZE
6,Bihar,Arwal,240,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,1,MAIZE
7,Bihar,Arwal,240,Ragi,Kharif,15th May – 30th June,1st - 31st Oct,15,5,30,6,1,10,31,10,1,FINGERMILLET
8,Bihar,Arwal,240,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15,6,31,7,15,3,15,4,1,PIGEONPEA
9,Bihar,Arwal,240,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,1,MINORPULSES
10,Bihar,Arwal,240,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar. – 15th Apr,15,10,30,11,15,3,15,4,1,CHICKPEA
11,Bihar,Arwal,240,Gram,,1-15 Dec (Late),,1,12,15,12,0,0,0,0,1,CHICKPEA
12,Bihar,Arwal,240,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15,10,30,11,15,3,31,3,1,MINORPULSES
14,Bihar,Arwal,240,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,1,MINORPULSES
16,Bihar,Arwal,240,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,1,SESAMUM
17,Bihar,Arwal,240,Til,Summer,15th Feb -15th Mar,15th -31st May,15,2,15,3,15,5,31,5,1,SESAMUM
18,Bihar,Arwal,240,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,1,RAPESEEDANDMUSTARD
19,Bihar,Arwal,240,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,1,LINSEED
20,Bihar,Aurangabad,235,Rice,Kharif,15th June - 15th Aug,15th Oct – 30th Nov,15,6,15,8,15,10,30,11,1,RICE
21,Bihar,Aurangabad,235,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
22,Bihar,Aurangabad,235,Barley,Rabi,31st Oct - 30th Nov,15th Mar - 15th Apr,31,10,30,11,15,3,15,4,1,BARLEY
23,Bihar,Aurangabad,235,Maize,Kharif,15th May – 15th June,1st - 31st Sept,15,5,15,6,1,9,31,9,1,MAIZE
24,Bihar,Aurangabad,235,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15,10,15,11,1,4,30,4,1,MAIZE
25,Bihar,Aurangabad,235,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15,2,30,4,15,5,31,5,1,MAIZE
26,Bihar,Aurangabad,235,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15,6,31,7,15,3,15,4,1,PIGEONPEA
27,Bihar,Aurangabad,235,Urad,Kharif,15th - 31st July,1st – 15th Oct,15,7,31,7,1,10,15,10,1,MINORPULSES
28,Bihar,Aurangabad,235,Gram,Rabi,15th Oct - 30th Nov (Normal),15th Mar – 15th Apr,15,10,30,11,15,3,15,4,1,CHICKPEA
29,Bihar,Aurangabad,235,Gram,,1st -15th Dec (Late),,1,12,15,12,0,0,0,0,1,CHICKPEA
30,Bihar,Aurangabad,235,Lentil,Rabi,31st Oct – 30th Nov,15th – 31st Mar,31,10,30,11,15,3,31,3,1,MINORPULSES
32,Bihar,Aurangabad,235,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15,3,15,4,15,5,31,5,1,MINORPULSES
34,Bihar,Aurangabad,235,Til,Kharif,15th June - 15th July,15th – 30th Sep,15,6,15,7,15,9,30,9,1,SESAMUM
35,Bihar,Aurangabad,235,Til,Summer,15th Feb.-15th Mar,15th -31st May,15,2,15,3,15,5,31,5,1,SESAMUM
36,Bihar,Aurangabad,235,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15,10,31,10,15,2,15,3,1,RAPESEEDANDMUSTARD
37,Bihar,Aurangabad,235,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15,10,30,11,15,3,31,3,1,LINSEED
38,Bihar,Araria,209,Rice,Kharif,1st June - 15th Aug,15th Oct – 30th Nov,1,6,15,8,15,10,30,11,1,RICE
39,Bihar,Araria,209,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15,11,15,12,15,3,15,4,1,WHEAT
40,Bihar,Araria,209,Barley,Rabi,15th Oct - 30th Nov,15th Mar - 15th Apr,15,10,30,11,15,3,15,4,1,BARLEY
