Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page
1,Bihar,Arwal,240,Rice,Kharif,15th June - 15th Aug,15th Oct. – 30th Nov,15.0,6.0,15.0,8.0,15.0,10.0,30.0,11.0,1
2,Bihar,Arwal,240,Wheat,Rabi,15th Nov – 15th Dec,15th Mar. – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,1
3,Bihar,Arwal,240,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
4,Bihar,Arwal,240,Maize,Kharif,15th May – 15th June,1st -31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,1
5,Bihar,Arwal,240,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,1
6,Bihar,Arwal,240,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,1
7,Bihar,Arwal,240,Ragi,Kharif,15th May – 30th June,1st - 31st Oct,15.0,5.0,30.0,6.0,1.0,10.0,31.0,10.0,1
8,Bihar,Arwal,240,Arhar,Kharif,15th June – 31st July,15th Mar – 15th Apr,15.0,6.0,31.0,7.0,15.0,3.0,15.0,4.0,1
9,Bihar,Arwal,240,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,1
10,Bihar,Arwal,240,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar. – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,1
11,Bihar,Arwal,240,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,1
12,Bihar,Arwal,240,Lentil,Rabi,15th Oct. – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,1
13,Bihar,Arwal,240,Peas,Rabi,15th Oct. – 30th Nov,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,1
14,Bihar,Arwal,240,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,1
15,Bihar,Arwal,240,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,1
16,Bihar,Arwal,240,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,1
